column_name,role,leakage_risk,tier,reason,source_files,missing_rate_overall,dtype_candidates,example_values,notes
game_id,id_key,low,T0_KEYS_STRUCTURE,Role: id_key – structural/identifier column,schedules,0.0,string,2024_01_ARI_WAS|2024_01_ATL_PIT,Unique identifier for each game
season,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules|team_week_epa,0.0,integer,2024|2023|2022,NFL season year
week,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules|team_week_epa,0.0,integer,1|2|3|17,Week number (1-18 regular season)
home_team,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.0,string,ARI|ATL|BAL|BUF,3-letter team abbreviation for home team
away_team,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.0,string,WAS|PIT|CIN|MIA,3-letter team abbreviation for away team
team,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,team_week_epa,0.0,string,ARI|ATL|BAL,Team abbreviation
stadium,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.12,string,State Farm Stadium|Mercedes-Benz Stadium,Stadium name
surface,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.08,string,grass|turf|fieldturf,Playing surface type
roof,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.05,string,outdoors|dome|retractable,Roof type
is_playoff,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.0,boolean,True|False,Whether game is playoff
is_neutral,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.0,boolean,True|False,Whether game is at neutral site
game_date,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.0,date,2024-09-08|2024-09-15,Date of game
day_of_week,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.0,string,Sunday|Monday|Thursday,Day of week for game
home_elo_pre,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",nfelo_ratings,0.03,float,1520.5|1487.2|1602.8,Pre-game Elo rating for home team
away_elo_pre,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",nfelo_ratings,0.03,float,1498.3|1515.7|1456.1,Pre-game Elo rating for away team
home_qb_elo,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",qb_rankings,0.15,float,88.5|92.1|76.3,QB-adjusted Elo for home team
away_qb_elo,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",qb_rankings,0.15,float,85.2|91.8|79.4,QB-adjusted Elo for away team
home_power_rating,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",power_ratings,0.05,float,25.8|23.1|27.5,Power rating for home team
away_power_rating,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",power_ratings,0.05,float,24.2|26.3|22.1,Power rating for away team
home_qbr,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",qb_epa,0.22,float,65.2|58.3|71.8,QB rating for home team starter
away_qbr,pre_game_team_strength,low,T1_TEAM_STRENGTH,"Pre-game team strength metric (Elo, ratings, etc.)",qb_epa,0.22,float,62.1|69.5|57.2,QB rating for away team starter
home_rest_days,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.01,integer,7|6|10|14,Days of rest for home team
away_rest_days,pre_game_structure,low,T0_KEYS_STRUCTURE,Role: pre_game_structure – structural/identifier column,schedules,0.01,integer,7|6|9|13,Days of rest for away team
spread_open,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.08,float,-3.5|-7.0|2.5,Opening point spread (home perspective)
spread_close,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.02,float,-3.0|-6.5|2.0,Closing point spread (home perspective)
total_open,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.08,float,47.5|43.0|51.5,Opening total points line
total_close,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.02,float,48.0|44.0|50.5,Closing total points line
home_ml_close,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.05,float,-180|-250|+125,Closing moneyline odds for home team
away_ml_close,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.05,float,+150|+200|-145,Closing moneyline odds for away team
home_implied_prob,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.05,float,0.643|0.714|0.421,Implied win probability from moneyline (home)
away_implied_prob,pre_game_market,low,T2_MARKET,"Pre-game market data (spreads, totals, probabilities)",betting_lines,0.05,float,0.400|0.333|0.606,Implied win probability from moneyline (away)
